loan_id,client_id,agent_id,montant_principal,taux_interet,date_decaissement,date_echeance,duree_mois,statut,devise
LN00032,CLI0106,AGT019,300000,22.0,2021-07-24,2022-01-20,6,ACTIVE,XOF
LN00033,CLI0101,AGT009,1695000,15.8,2022-07-26,2023-01-22,6,OVERPAID,XOF
LN00034,CLI0199,AGT019,330000,13.6,2023-06-05,2025-05-25,24,ACTIVE,XOF
LN00035,CLI0153,AGT003,1695000,13.0,2023-06-12,2026-05-27,36,ACTIVE,XOF
LN00036,CLI0094,AGT017,1000000,17.5,2022-02-03,2023-01-29,12,CLOSED,EUR
LN00037,CLI0096,AGT006,1410000,15.8,2022-09-23,2025-09-07,36,ACTIVE,XOF
LN00038,CLI0231,AGT012,2380000,15.8,2023-06-22,2023-12-19,6,ACTIVE,EUR
LN00039,CLI0288,AGT014,1730000,14.7,2022-11-01,2024-10-21,24,CLOSED,EUR
LN00040,CLI0086,AGT001,2000000,11.5,2020-06-18,2023-06-03,36,ACTIVE,XOF
LN00041,CLI0276,AGT015,1435000,20.4,2021-08-14,2022-08-09,12,ACTIVE,XOF
LN00042,CLI0294,AGT018,2065000,13.9,2020-08-21,2022-02-12,18,CLOSED,XOF
LN00043,CLI0226,AGT014,300000,21.3,2023-01-23,2024-01-18,12,CLOSED,XOF
LN00044,CLI0017,AGT012,2160000,9.4,2022-07-10,2024-01-01,18,DEFAULTED,XOF
LN00045,CLI0122,AGT012,2160000,17.8,2021-03-05,2024-02-18,36,ACTIVE,XOF
LN00046,CLI0106,AGT019,910000,12.5,2021-02-27,2021-08-26,6,ACTIVE,XOF
LN00047,CLI0150,AGT009,2385000,16.2,2021-08-15,2024-07-30,36,DEFAULTED,XOF
LN00048,CLI0070,AGT002,2480000,21.9,2024-03-16,2026-03-06,24,ACTIVE,XOF
LN00049,CLI0128,AGT008,1915000,18.8,2020-10-26,2022-04-19,18,ACTIVE,XOF
LN00050,CLI0213,AGT003,1600000,22.1,2022-02-07,2024-01-28,24,ACTIVE,XOF
LN00051,CLI0189,AGT011,1475000,21.9,2022-07-20,2024-07-09,24,CLOSED,XOF
LN00052,CLI0235,AGT003,2000000,14.4,2023-07-24,2025-01-14,18,OVERPAID,XOF
LN00053,CLI0254,AGT010,880000,17.2,2021-07-03,2022-12-25,18,CLOSED,EUR
LN00054,CLI0176,AGT002,295000,20.5,2023-10-29,2024-04-26,6,ACTIVE,XOF
LN00055,CLI0081,AGT001,2480000,14.8,2022-06-22,2024-06-11,24,OVERPAID,XOF
LN00056,CLI0155,AGT003,1655000,12.0,2020-11-21,2022-05-15,18,ACTIVE,XOF
LN00057,CLI0027,AGT008,1100000,9.5,2022-03-22,2023-09-13,18,ACTIVE,XOF
LN00058,CLI0245,AGT019,605000,18.9,2020-06-08,2021-06-03,12,ACTIVE,XOF
LN00059,CLI0062,AGT016,225000,14.1,2022-05-14,2023-05-09,12,CLOSED,XOF
LN00060,CLI0053,AGT010,385000,20.4,2021-10-03,2023-03-27,18,CLOSED,XOF
LN00061,CLI0074,AGT019,70000,18.4,2020-05-20,2023-05-05,36,ACTIVE,XOF
LN00062,CLI0078,AGT015,2155000,9.4,2022-04-23,2025-04-07,36,ACTIVE,XOF
LN00063,CLI0197,AGT011,1990000,12.0,2021-12-20,2023-12-10,24,CLOSED,XOF
LN00064,CLI0284,AGT020,750000,23.1,2023-05-15,2026-04-29,36,ACTIVE,XOF
LN00065,CLI0106,AGT017,510000,14.3,2022-11-26,2025-11-10,36,CLOSED,XOF
LN00066,CLI0254,AGT008,1275000,17.5,2022-03-01,2022-08-28,6,ACTIVE,XOF
LN00067,CLI0185,AGT013,2160000,17.1,2021-10-10,2022-10-05,12,ACTIVE,XOF
LN00068,CLI0242,AGT001,1490000,8.2,2024-04-26,2024-10-23,6,ACTIVE,XOF
LN00069,CLI0204,AGT017,1930000,14.8,2022-11-03,2024-04-26,18,ACTIVE,XOF
LN00070,CLI0143,AGT003,1305000,11.3,2020-06-20,2021-12-12,18,CLOSED,XOF
LN00071,CLI0201,AGT010,1760000,19.7,2023-04-16,2023-10-13,6,CLOSED,XOF
LN00072,CLI0126,AGT004,1160000,17.7,2020-06-25,2022-06-15,24,ACTIVE,XOF
LN00073,CLI0062,AGT001,450000,23.2,2020-01-26,2021-01-20,12,ACTIVE,XOF
LN00074,CLI0086,AGT009,1845000,9.9,2022-01-31,2023-01-26,12,DEFAULTED,XOF
LN00075,CLI0220,AGT003,695000,23.6,2021-07-11,2024-06-25,36,CLOSED,EUR
LN00076,CLI0234,AGT002,1275000,17.1,2022-11-12,2024-05-05,18,ACTIVE,XOF
LN00077,CLI0053,AGT008,1865000,8.0,2023-03-21,2023-09-17,6,DEFAULTED,XOF
LN00078,CLI0126,AGT012,990000,10.4,2020-04-04,2022-03-25,24,DEFAULTED,XOF
LN00079,CLI0284,AGT008,840000,14.7,2024-01-02,2025-12-22,24,CLOSED,XOF
LN00080,CLI0040,AGT004,1280000,22.4,2023-03-16,2024-09-06,18,ACTIVE,XOF
LN00081,CLI0206,AGT010,1945000,13.0,2020-05-21,2022-05-11,24,ACTIVE,EUR
LN00082,CLI0005,AGT010,1430000,12.9,2022-01-25,2023-01-20,12,CLOSED,EUR
LN00083,CLI0189,AGT007,1845000,16.7,2023-04-26,2025-04-15,24,CLOSED,XOF
LN00084,CLI0004,AGT008,1375000,18.2,2022-04-19,2022-10-16,6,CLOSED,XOF
LN00085,CLI0172,AGT010,305000,16.5,2020-01-03,2021-12-23,24,ACTIVE,EUR
LN00086,CLI0031,AGT003,160000,11.7,2020-10-18,2022-04-11,18,CLOSED,EUR
LN00087,CLI0191,AGT019,285000,10.1,2022-07-27,2023-01-23,6,CLOSED,XOF
LN00088,CLI0291,AGT005,630000,12.2,2020-05-07,2022-04-27,24,ACTIVE,EUR
LN00089,CLI0168,AGT009,620000,23.1,2021-10-13,2023-10-03,24,ACTIVE,XOF
LN00090,CLI0080,AGT015,1190000,14.5,2020-08-04,2021-07-30,12,ACTIVE,XOF
LN00091,CLI0232,AGT009,2140000,9.4,2021-09-23,2023-09-13,24,CLOSED,XOF
LN00092,CLI0021,AGT005,275000,12.0,2021-03-16,2022-09-07,18,ACTIVE,XOF
LN00093,CLI0154,AGT001,2385000,21.7,2021-06-16,2022-06-11,12,CLOSED,XOF
LN00094,CLI0049,AGT005,350000,9.0,2022-08-04,2023-01-31,6,CLOSED,XOF
LN00095,CLI0067,AGT012,1730000,23.0,2021-02-09,2023-01-30,24,ACTIVE,XOF
LN00096,CLI0039,AGT007,2260000,15.1,2020-02-14,2020-08-12,6,ACTIVE,XOF
LN00097,CLI0063,AGT002,460000,17.2,2020-03-28,2022-03-18,24,CLOSED,EUR
LN00098,CLI0255,AGT014,475000,11.4,2020-03-01,2022-02-19,24,ACTIVE,XOF
LN00099,CLI0229,AGT020,1565000,11.9,2020-10-31,2021-04-29,6,ACTIVE,EUR
LN00100,CLI0282,AGT003,735000,10.2,2022-09-08,2023-03-07,6,ACTIVE,XOF
LN00101,CLI0279,AGT012,1225000,20.5,2020-02-09,2022-01-29,24,ACTIVE,XOF
LN00102,CLI0199,AGT001,830000,11.5,2021-07-07,2022-07-02,12,DEFAULTED,XOF
LN00103,CLI0030,AGT012,1930000,24.0,2022-08-24,2025-08-08,36,OVERPAID,XOF
LN00104,CLI0127,AGT009,1360000,20.7,2023-09-07,2024-09-01,12,CLOSED,XOF
LN00105,CLI0295,AGT006,480000,17.5,2022-03-06,2023-08-28,18,CLOSED,XOF
LN00106,CLI0015,AGT019,1430000,17.0,2023-12-11,2025-06-03,18,ACTIVE,EUR
LN00107,CLI0278,AGT016,145000,8.9,2021-09-24,2022-09-19,12,CLOSED,XOF
LN00108,CLI0270,AGT011,2300000,11.2,2022-09-05,2023-03-04,6,ACTIVE,XOF
LN00109,CLI0166,AGT005,1485000,22.7,2020-05-01,2020-10-28,6,CLOSED,XOF
LN00110,CLI0038,AGT019,300000,12.8,2022-02-04,2024-01-25,24,ACTIVE,XOF
LN00111,CLI0224,AGT011,475000,23.5,2023-08-02,2025-07-22,24,CLOSED,XOF
LN00112,CLI0115,AGT006,975000,19.7,2023-09-25,2026-09-09,36,ACTIVE,XOF
LN00113,CLI0001,AGT013,2135000,20.3,2023-12-08,2026-11-22,36,CLOSED,XOF
LN00114,CLI0163,AGT019,305000,15.9,2023-06-06,2024-05-31,12,ACTIVE,XOF
LN00115,CLI0122,AGT006,1610000,23.4,2021-12-11,2023-06-04,18,CLOSED,XOF
LN00116,CLI0229,AGT007,660000,9.1,2020-01-24,2021-07-17,18,ACTIVE,XOF
LN00117,CLI0001,AGT015,1845000,23.5,2020-04-08,2022-03-29,24,DEFAULTED,EUR
LN00118,CLI0194,AGT013,300000,15.7,2021-12-20,2024-12-04,36,DEFAULTED,XOF
LN00119,CLI0084,AGT002,775000,13.1,2022-07-13,2023-01-09,6,OVERPAID,XOF
LN00120,CLI0176,AGT006,1845000,16.8,2020-12-14,2022-12-04,24,DEFAULTED,XOF
LN00121,CLI0174,AGT016,1775000,14.9,2023-05-01,2026-04-15,36,CLOSED,EUR
LN00122,CLI0081,AGT011,555000,11.0,2020-04-19,2020-10-16,6,CLOSED,XOF
LN00123,CLI0145,AGT004,170000,17.1,2021-09-01,2022-08-27,12,CLOSED,XOF
LN00124,CLI0028,AGT014,265000,21.2,2022-01-08,2022-07-07,6,CLOSED,EUR
LN00125,CLI0103,AGT007,470000,12.7,2020-07-17,2021-01-13,6,ACTIVE,XOF
LN00126,CLI0158,AGT016,1250000,18.6,2024-05-26,2026-05-16,24,ACTIVE,EUR
LN00127,CLI0095,AGT012,505000,8.7,2022-01-29,2024-01-19,24,ACTIVE,XOF
LN00128,CLI0116,AGT002,420000,19.1,2021-07-04,2024-06-18,36,ACTIVE,XOF
LN00129,CLI0278,AGT008,1405000,21.5,2022-04-27,2025-04-11,36,CLOSED,EUR
LN00130,CLI0275,AGT019,2210000,15.6,2023-11-08,2025-10-28,24,ACTIVE,XOF
LN00131,CLI0258,AGT019,1710000,17.9,2023-03-15,2026-02-27,36,ACTIVE,EUR
LN00132,CLI0089,AGT007,360000,14.8,2020-12-08,2021-12-03,12,OVERPAID,EUR
LN00133,CLI0104,AGT020,680000,22.6,2023-07-08,2024-07-02,12,DEFAULTED,XOF
LN00134,CLI0045,AGT013,1405000,21.7,2022-03-05,2025-02-17,36,ACTIVE,XOF
LN00135,CLI0268,AGT004,1065000,10.4,2024-05-19,2026-05-09,24,CLOSED,XOF
LN00136,CLI0055,AGT010,2175000,22.1,2023-02-26,2023-08-25,6,DEFAULTED,XOF
LN00137,CLI0197,AGT019,1540000,8.6,2023-09-03,2025-08-23,24,ACTIVE,XOF
LN00138,CLI0206,AGT011,1740000,8.8,2020-03-20,2022-03-10,24,ACTIVE,XOF
LN00139,CLI0191,AGT010,810000,21.5,2020-02-11,2021-08-04,18,DEFAULTED,XOF
LN00140,CLI0117,AGT015,1945000,13.1,2020-10-02,2022-03-26,18,CLOSED,XOF
LN00141,CLI0097,AGT014,1865000,20.2,2022-06-23,2023-06-18,12,DEFAULTED,XOF
LN00142,CLI0264,AGT010,1790000,14.5,2020-11-21,2021-05-20,6,CLOSED,XOF
LN00143,CLI0089,AGT002,660000,15.3,2021-01-29,2022-01-24,12,DEFAULTED,XOF
LN00144,CLI0141,AGT017,1025000,22.8,2022-01-24,2024-01-14,24,CLOSED,XOF
LN00145,CLI0191,AGT015,485000,21.9,2022-09-28,2025-09-12,36,CLOSED,XOF
LN00146,CLI0177,AGT003,750000,14.2,2020-11-30,2022-05-24,18,ACTIVE,XOF
LN00147,CLI0114,AGT007,710000,14.6,2023-08-18,2024-08-12,12,ACTIVE,XOF
LN00148,CLI0243,AGT020,2010000,11.6,2020-09-27,2021-09-22,12,CLOSED,XOF
LN00149,CLI0141,AGT012,1175000,11.5,2022-05-17,2024-05-06,24,ACTIVE,EUR
LN00150,CLI0300,AGT017,2500000,23.5,2020-07-28,2021-01-24,6,CLOSED,XOF
LN00151,CLI0153,AGT016,205000,23.8,2023-11-02,2024-04-30,6,CLOSED,XOF
LN00152,CLI0134,AGT007,415000,20.2,2023-09-05,2025-02-26,18,DEFAULTED,EUR
LN00153,CLI0164,AGT001,1655000,24.0,2023-10-26,2024-10-20,12,ACTIVE,EUR
LN00154,CLI0208,AGT019,1785000,17.2,2022-03-06,2022-09-02,6,ACTIVE,XOF
LN00155,CLI0274,AGT012,1295000,21.5,2023-07-31,2025-07-20,24,CLOSED,XOF
LN00156,CLI0151,AGT005,1865000,19.6,2020-07-18,2022-07-08,24,CLOSED,XOF
LN00157,CLI0172,AGT008,920000,19.9,2023-09-02,2024-02-29,6,ACTIVE,XOF
LN00158,CLI0191,AGT010,1185000,9.9,2021-06-17,2024-06-01,36,ACTIVE,XOF
LN00159,CLI0242,AGT004,2175000,14.1,2021-02-02,2024-01-18,36,ACTIVE,XOF
LN00160,CLI0078,AGT011,1055000,17.1,2020-10-08,2021-10-03,12,DEFAULTED,EUR
LN00161,CLI0074,AGT003,1245000,18.1,2021-10-09,2022-10-04,12,ACTIVE,XOF
LN00162,CLI0003,AGT007,1915000,10.7,2022-07-14,2024-01-05,18,CLOSED,EUR
LN00163,CLI0046,AGT014,1600000,14.5,2020-09-22,2023-09-07,36,OVERPAID,EUR
LN00164,CLI0003,AGT007,1840000,23.2,2020-03-18,2023-03-03,36,DEFAULTED,XOF
LN00165,CLI0010,AGT008,605000,22.0,2023-10-17,2024-04-14,6,ACTIVE,XOF
LN00166,CLI0197,AGT010,460000,21.2,2022-10-27,2025-10-11,36,ACTIVE,XOF
LN00167,CLI0234,AGT020,1335000,14.9,2024-01-30,2027-01-14,36,CLOSED,XOF
LN00168,CLI0176,AGT007,455000,22.5,2022-09-30,2024-03-23,18,CLOSED,XOF
LN00169,CLI0117,AGT007,1850000,17.4,2021-04-04,2022-03-30,12,ACTIVE,XOF
LN00170,CLI0020,AGT018,1575000,17.5,2022-02-07,2023-08-01,18,ACTIVE,XOF
LN00171,CLI0011,AGT014,1140000,10.0,2020-04-08,2020-10-05,6,ACTIVE,XOF
LN00172,CLI0106,AGT010,1080000,9.6,2023-11-24,2024-05-22,6,ACTIVE,XOF
LN00173,CLI0215,AGT020,340000,9.8,2020-08-02,2023-07-18,36,ACTIVE,XOF
LN00174,CLI0103,AGT017,2435000,13.7,2024-05-12,2025-11-03,18,ACTIVE,XOF
LN00175,CLI0021,AGT007,1735000,15.7,2023-01-27,2025-01-16,24,ACTIVE,XOF
LN00176,CLI0046,AGT016,415000,9.4,2020-08-14,2023-07-30,36,ACTIVE,XOF
LN00177,CLI0132,AGT015,2470000,12.7,2023-08-12,2024-08-06,12,ACTIVE,XOF
LN00178,CLI0090,AGT012,2015000,13.0,2020-03-21,2021-09-12,18,CLOSED,XOF
LN00179,CLI0024,AGT006,855000,22.3,2020-01-20,2021-01-14,12,OVERPAID,XOF
LN00180,CLI0048,AGT006,330000,14.4,2022-02-02,2023-07-27,18,ACTIVE,EUR
LN00181,CLI0245,AGT004,375000,19.6,2022-05-13,2023-05-08,12,OVERPAID,XOF
LN00182,CLI0054,AGT016,2015000,18.9,2022-05-02,2025-04-16,36,ACTIVE,EUR
LN00183,CLI0184,AGT005,1235000,15.8,2023-06-06,2023-12-03,6,DEFAULTED,EUR
LN00184,CLI0024,AGT011,80000,21.9,2020-05-09,2021-10-31,18,ACTIVE,XOF
LN00185,CLI0174,AGT020,285000,18.6,2022-11-29,2025-11-13,36,ACTIVE,XOF
LN00186,CLI0198,AGT020,185000,18.3,2020-10-31,2023-10-16,36,ACTIVE,EUR
LN00187,CLI0254,AGT016,835000,13.3,2020-12-04,2021-06-02,6,ACTIVE,XOF
LN00188,CLI0282,AGT013,2050000,9.3,2023-08-10,2025-07-30,24,ACTIVE,EUR
LN00189,CLI0046,AGT011,340000,16.0,2022-10-17,2024-10-06,24,CLOSED,XOF
LN00190,CLI0207,AGT018,1395000,21.2,2022-04-24,2022-10-21,6,CLOSED,XOF
LN00191,CLI0261,AGT015,2380000,13.8,2023-02-25,2024-02-20,12,ACTIVE,XOF
LN00192,CLI0233,AGT020,1520000,19.5,2021-11-10,2024-10-25,36,ACTIVE,EUR
LN00193,CLI0059,AGT001,885000,21.3,2020-07-18,2021-07-13,12,OVERPAID,XOF
LN00194,CLI0281,AGT004,160000,10.6,2022-12-05,2024-05-28,18,ACTIVE,EUR
LN00195,CLI0055,AGT007,510000,22.9,2021-06-04,2024-05-19,36,ACTIVE,EUR
LN00196,CLI0098,AGT004,1905000,8.7,2024-01-07,2025-06-30,18,CLOSED,XOF
LN00197,CLI0231,AGT017,380000,16.0,2022-07-25,2025-07-09,36,ACTIVE,XOF
LN00198,CLI0284,AGT016,2315000,20.5,2022-06-05,2025-05-20,36,DEFAULTED,XOF
LN00199,CLI0066,AGT020,1535000,13.1,2020-07-31,2022-07-21,24,DEFAULTED,EUR
LN00200,CLI0128,AGT011,2430000,15.2,2021-07-14,2023-07-04,24,ACTIVE,EUR
LN00201,CLI0263,AGT011,1795000,23.0,2021-09-04,2024-08-19,36,CLOSED,XOF
LN00202,CLI0108,AGT012,2305000,10.1,2023-07-02,2024-12-23,18,CLOSED,XOF
LN00203,CLI0258,AGT004,1915000,17.0,2023-01-16,2024-07-09,18,CLOSED,EUR
LN00204,CLI0274,AGT001,1330000,8.4,2021-08-08,2023-07-29,24,ACTIVE,XOF
LN00205,CLI0103,AGT010,1725000,10.3,2021-06-30,2022-06-25,12,ACTIVE,XOF
LN00206,CLI0105,AGT002,930000,15.2,2024-03-23,2027-03-08,36,CLOSED,XOF
LN00207,CLI0288,AGT017,1970000,20.8,2022-03-07,2023-03-02,12,ACTIVE,XOF
LN00208,CLI0196,AGT011,2415000,8.9,2022-03-04,2024-02-22,24,CLOSED,XOF
LN00209,CLI0227,AGT019,1390000,17.7,2021-04-06,2022-09-28,18,CLOSED,XOF
LN00210,CLI0151,AGT003,510000,10.8,2022-07-08,2023-07-03,12,ACTIVE,EUR
LN00211,CLI0021,AGT018,695000,10.6,2022-05-27,2023-11-18,18,CLOSED,XOF
LN00212,CLI0170,AGT002,425000,13.2,2022-08-13,2023-08-08,12,ACTIVE,XOF
LN00213,CLI0252,AGT012,230000,19.3,2023-03-18,2026-03-02,36,ACTIVE,XOF
LN00214,CLI0267,AGT006,1070000,16.6,2020-05-19,2023-05-04,36,ACTIVE,XOF
LN00215,CLI0110,AGT011,935000,11.5,2023-09-20,2025-03-13,18,CLOSED,EUR
LN00216,CLI0288,AGT004,1690000,15.1,2024-03-20,2024-09-16,6,DEFAULTED,XOF
LN00217,CLI0021,AGT013,2295000,23.1,2023-10-29,2025-04-21,18,ACTIVE,XOF
LN00218,CLI0013,AGT017,2015000,15.1,2022-11-24,2024-05-17,18,ACTIVE,XOF
LN00219,CLI0165,AGT004,460000,23.3,2022-11-18,2023-05-17,6,ACTIVE,XOF
LN00220,CLI0034,AGT014,2095000,11.3,2021-03-07,2022-03-02,12,CLOSED,EUR
LN00221,CLI0037,AGT001,1175000,13.3,2024-03-09,2025-03-04,12,ACTIVE,XOF
LN00222,CLI0092,AGT003,1460000,11.6,2021-05-30,2024-05-14,36,ACTIVE,EUR
LN00223,CLI0231,AGT014,825000,14.2,2023-07-14,2025-07-03,24,ACTIVE,XOF
LN00224,CLI0033,AGT002,1765000,9.2,2024-03-28,2027-03-13,36,DEFAULTED,XOF
LN00225,CLI0149,AGT020,260000,20.2,2024-05-30,2025-11-21,18,ACTIVE,EUR
LN00226,CLI0016,AGT018,590000,19.9,2022-08-28,2023-08-23,12,CLOSED,XOF
LN00227,CLI0074,AGT001,1405000,16.9,2021-09-02,2023-02-24,18,ACTIVE,XOF
LN00228,CLI0294,AGT018,1390000,9.4,2023-05-06,2025-04-25,24,ACTIVE,XOF
LN00229,CLI0109,AGT005,445000,11.5,2022-04-25,2025-04-09,36,CLOSED,XOF
LN00230,CLI0059,AGT002,2135000,22.9,2021-01-06,2023-12-22,36,OVERPAID,EUR
LN00231,CLI0282,AGT003,665000,11.2,2020-05-29,2021-11-20,18,CLOSED,XOF
LN00232,CLI0183,AGT004,750000,9.1,2020-09-19,2021-09-14,12,ACTIVE,EUR
LN00233,CLI0231,AGT010,1750000,10.4,2021-11-03,2024-10-18,36,CLOSED,XOF
LN00234,CLI0220,AGT011,655000,11.5,2020-12-11,2021-06-09,6,CLOSED,EUR
LN00235,CLI0142,AGT011,2200000,15.4,2022-01-06,2023-01-01,12,ACTIVE,XOF
LN00236,CLI0250,AGT006,1630000,9.3,2023-02-03,2023-08-02,6,ACTIVE,XOF
LN00237,CLI0276,AGT003,1830000,22.3,2021-02-06,2022-07-31,18,CLOSED,XOF
LN00238,CLI0298,AGT019,570000,8.6,2023-03-31,2025-03-20,24,ACTIVE,EUR
LN00239,CLI0077,AGT008,2235000,17.4,2022-01-19,2024-01-09,24,DEFAULTED,XOF
LN00240,CLI0238,AGT003,1020000,16.0,2022-10-23,2025-10-07,36,CLOSED,XOF
LN00241,CLI0264,AGT006,490000,23.2,2020-10-14,2022-10-04,24,CLOSED,XOF
LN00242,CLI0248,AGT008,1915000,11.7,2022-01-04,2022-07-03,6,ACTIVE,XOF
LN00243,CLI0022,AGT017,2275000,13.8,2023-10-01,2024-09-25,12,ACTIVE,EUR
LN00244,CLI0024,AGT004,1775000,16.3,2020-03-22,2021-09-13,18,CLOSED,XOF
LN00245,CLI0297,AGT006,975000,14.1,2023-01-19,2026-01-03,36,CLOSED,XOF
LN00246,CLI0265,AGT008,1315000,13.6,2021-05-30,2023-05-20,24,DEFAULTED,EUR
LN00247,CLI0247,AGT017,2210000,15.0,2023-05-22,2023-11-18,6,ACTIVE,XOF
LN00248,CLI0109,AGT006,935000,19.5,2020-11-03,2021-10-29,12,ACTIVE,XOF
LN00249,CLI0213,AGT016,1705000,15.7,2021-11-07,2022-05-06,6,CLOSED,EUR
LN00250,CLI0012,AGT005,1455000,10.6,2021-05-14,2021-11-10,6,CLOSED,XOF
LN00251,CLI0294,AGT006,685000,10.9,2020-10-27,2021-04-25,6,OVERPAID,XOF
LN00252,CLI0146,AGT015,1535000,15.5,2020-06-24,2021-06-19,12,ACTIVE,XOF
LN00253,CLI0211,AGT019,2060000,10.9,2023-05-15,2024-05-09,12,CLOSED,XOF
LN00254,CLI0086,AGT015,1510000,9.1,2024-01-23,2025-07-16,18,ACTIVE,XOF
LN00255,CLI0056,AGT017,2155000,16.1,2020-02-03,2021-01-28,12,ACTIVE,XOF
LN00256,CLI0050,AGT020,1520000,22.0,2020-12-29,2022-12-19,24,ACTIVE,XOF
LN00257,CLI0048,AGT020,1370000,8.0,2022-09-14,2023-09-09,12,DEFAULTED,EUR
LN00258,CLI0268,AGT002,1760000,14.9,2022-05-11,2023-11-02,18,DEFAULTED,EUR
LN00259,CLI0196,AGT019,290000,10.1,2021-12-18,2024-12-02,36,ACTIVE,XOF
LN00260,CLI0043,AGT018,1050000,11.0,2021-08-03,2024-07-18,36,CLOSED,XOF
LN00261,CLI0296,AGT017,70000,18.5,2022-12-06,2023-06-04,6,CLOSED,XOF
LN00262,CLI0210,AGT005,1095000,17.4,2022-01-11,2022-07-10,6,ACTIVE,EUR
LN00263,CLI0290,AGT009,2480000,14.4,2022-01-18,2025-01-02,36,ACTIVE,EUR
LN00264,CLI0092,AGT018,1235000,23.8,2022-01-28,2025-01-12,36,CLOSED,EUR
LN00265,CLI0071,AGT008,1145000,19.2,2023-09-12,2024-03-10,6,ACTIVE,XOF
LN00266,CLI0261,AGT018,1555000,19.0,2022-03-31,2023-09-22,18,ACTIVE,EUR
LN00267,CLI0003,AGT016,2320000,15.0,2020-07-05,2021-06-30,12,ACTIVE,XOF
LN00268,CLI0190,AGT002,1825000,22.9,2020-06-12,2023-05-28,36,ACTIVE,XOF
LN00269,CLI0030,AGT016,1125000,11.2,2024-05-03,2025-04-28,12,CLOSED,XOF
LN00270,CLI0100,AGT017,1315000,11.7,2020-03-09,2023-02-22,36,ACTIVE,XOF
LN00271,CLI0185,AGT006,265000,12.4,2021-05-04,2021-10-31,6,ACTIVE,EUR
LN00272,CLI0208,AGT017,90000,19.3,2023-04-15,2024-04-09,12,DEFAULTED,XOF
LN00273,CLI0287,AGT012,2410000,12.4,2023-04-08,2024-09-29,18,CLOSED,XOF
LN00274,CLI0233,AGT001,690000,14.5,2022-04-07,2025-03-22,36,ACTIVE,XOF
LN00275,CLI0258,AGT004,2015000,23.3,2021-08-25,2023-02-16,18,DEFAULTED,XOF
